b_emu20,u90_emu20,d90_emu20,u68_emu20,d68_emu20,Fstat_emu20,b_eu27,u90_eu27,d90_eu27,u68_eu27,d68_eu27,Fstat_eu27,Months
.18374395,.29115343,.076334484,.24903847,.11844944,208.57607,.085300706,.20296651,-.032365099,.15683007,.013771343,230.46721,0
.31817791,.46097416,.17538166,.40498415,.23137167,208.57607,.21418282,.36040148,.067964166,.30306956,.1252961,230.46721,1
.41429433,.59270889,.23587976,.52275306,.30583563,208.57607,.33551937,.50928396,.16175477,.44115132,.2298874,230.46721,2
.59978849,.80281514,.39676186,.72320896,.47636804,208.57607,.50711077,.7008993,.31332222,.62491536,.38930619,230.46721,3
.70876539,.93492699,.48260379,.84624964,.57128114,208.57607,.5780248,.79648358,.35956603,.71082652,.44522312,230.46721,4
.88067955,1.1364573,.62490171,1.0361676,.72519147,208.57607,.71525991,.95852339,.47199643,.86314046,.56737936,230.46721,5
.963898,1.2493359,.67846012,1.1374165,.79037952,208.57607,.88677949,1.1545606,.61899841,1.0495644,.72399461,230.46721,6
.84677172,1.1485654,.54497802,1.0302329,.66331047,208.57607,.84851879,1.1333795,.56365812,1.0216863,.6753512,230.46721,7
.7295987,1.049368,.40982941,.92398733,.53521007,208.57607,.78440154,1.0870582,.48174495,.96838737,.60041577,230.46721,8
.81534463,1.1546259,.47606337,1.0215946,.60909462,208.57607,.83343852,1.154927,.51195008,1.0288723,.63800484,230.46721,9
.89054936,1.2534683,.52763051,1.1111687,.66992998,208.57607,.91534382,1.2584574,.57223016,1.1239235,.70676404,230.46721,10
.77617937,1.167189,.38516971,1.0138751,.5384835,208.57607,.88088161,1.2491831,.5125801,1.104773,.65699011,230.46721,11
.61814773,1.0172256,.21906984,.86074829,.3755472,208.57607,.74345118,1.116774,.37012833,.97039509,.51650721,230.46721,12
.42309704,.83270657,.013487545,.67209977,.17409432,208.57607,.62290078,1.0030868,.24271475,.85401696,.39178467,230.46721,13
