b,u90,d90,u68,d68,Fstat,Months,sample
-.17463601,.084491722,-.43376374,-.017111555,-.33216047,50.30397,0,EU7_placebo
-.059674691,.29702824,-.4163776,.15716599,-.27651536,50.30397,1,EU7_placebo
.1213368,.51504612,-.27237254,.36067379,-.11800019,50.30397,2,EU7_placebo
.22864024,.6576345,-.20035401,.48942703,-.032146536,50.30397,3,EU7_placebo
.25517324,.73476434,-.22441787,.54671794,-.036371514,50.30397,4,EU7_placebo
.25706443,.80352998,-.28940108,.58926231,-.075133458,50.30397,5,EU7_placebo
.66855937,1.2687136,.068405211,1.0333948,.30372402,50.30397,6,EU7_placebo
.89001757,1.5245004,.2555348,1.2757214,.50431377,50.30397,7,EU7_placebo
1.0433406,1.7129213,.37375981,1.4503804,.63630056,50.30397,8,EU7_placebo
.98271257,1.6971264,.26829866,1.4170067,.5484184,50.30397,9,EU7_placebo
1.0784354,1.8420466,.3148244,1.5426368,.61423421,50.30397,10,EU7_placebo
1.322497,2.1414256,.50356835,1.820326,.82466805,50.30397,11,EU7_placebo
1.2314287,2.0568218,.40603545,1.7331874,.72966987,50.30397,12,EU7_placebo
1.2917819,2.1159384,.4676255,1.7927889,.79077494,50.30397,13,EU7_placebo
