b_core,u90_core,d90_core,u68_core,d68_core,Fstat_core,se_core,b_peri,u90_peri,d90_peri,u68_peri,d68_peri,Fstat_peri,se_peri,b_soe,u90_soe,d90_soe,u68_soe,d68_soe,Fstat_soe,se_soe,Months
.26840332,.41497001,.12183665,.35750163,.17930505,83.044548,.089098282,.43413672,.64714777,.22112566,.56362671,.3046467,36.536476,.12949,.1237712,.27404514,-.026502749,.21512315,.032419253,112.83667,.091351949,0
.38288733,.59123653,.17453811,.50954336,.25623128,83.044548,.12665606,.58483469,.87328869,.29638073,.76018667,.40948275,36.536476,.17535198,.32338917,.52895647,.11782187,.44835407,.19842425,112.83667,.12496492,1
.34503314,.5856477,.10441856,.49130338,.19876288,83.044548,.14627026,.59485215,.92470253,.26500183,.79536909,.39433527,36.536476,.20051691,.54750502,.80597025,.28903979,.70462674,.3903833,112.83667,.15712172,2
.55558693,.83709174,.27408218,.72671449,.38445944,83.044548,.17112753,.99864346,1.422387,.57489997,1.2562383,.74104863,36.536476,.25759482,.69954586,.99222237,.40686938,.87746471,.52162701,112.83667,.17791884,3
.66027701,.97876728,.34178674,.85388809,.46666589,83.044548,.1936111,1.2329402,1.7296512,.7362293,1.5348922,.93098831,36.536476,.30195194,.80981052,1.1374832,.48213786,1.0090036,.6106174,112.83667,.19919311,4
.76533306,1.1495448,.38112125,.99889642,.53176963,83.044548,.23356339,1.5291754,2.1497238,.90862709,1.9064084,1.1519424,36.536476,.37723303,.98828781,1.3489977,.6275779,1.2075644,.76901132,112.83667,.21927655,5
1.0421737,1.4831419,.60120553,1.3102394,.77410793,83.044548,.26806578,1.6783569,2.3538964,1.0028175,2.0890193,1.2676947,36.536476,.41066226,.99766004,1.3927141,.60260588,1.2378145,.75750554,112.83667,.24015447,6
1.0651242,1.5101486,.62009954,1.3356558,.79459244,83.044548,.27053165,1.462718,2.1632016,.76223457,1.8885438,1.0368922,36.536476,.4258258,.87362421,1.2917119,.45553643,1.1277809,.6194675,112.83667,.25415671,7
.99687546,1.476873,.51687789,1.2886673,.70508361,83.044548,.29179186,1.3354111,2.0810583,.58976376,1.788692,.88213003,36.536476,.45328102,.74483782,1.1864665,.30320913,1.0133051,.47637051,112.83667,.26846731,8
.97516131,1.4633914,.4869312,1.2719578,.67836493,83.044548,.29679641,1.1642934,1.900059,.42852783,1.6115673,.7170195,36.536476,.44727391,.93110037,1.4082743,.45392641,1.2211757,.64102501,112.83667,.29007533,9
.9587723,1.4785064,.4390381,1.2747202,.64282447,83.044548,.31594783,1.1898541,1.9588079,.42090026,1.6573033,.72240496,36.536476,.46744916,1.0837189,1.6002678,.56717002,1.3977304,.76970738,112.83667,.31401148,10
.89023429,1.4652172,.31525138,1.239768,.54070061,83.044548,.34953368,1.1090726,1.9200369,.29810807,1.60206,.61608499,36.536476,.49298748,.97074419,1.5260526,.41543582,1.3083177,.63317072,112.83667,.33757347,11
.8234098,1.4308282,.21599132,1.1926612,.45415843,83.044548,.36925134,.96300006,1.7811184,.14488168,1.4603364,.46566367,36.536476,.49733639,.75962013,1.3251473,.19409297,1.1034056,.41583461,112.83667,.34378549,12
.81809473,1.4313736,.20481595,1.1909087,.44528088,83.044548,.37281385,.83475381,1.704336,-.034828402,1.3633752,.30613241,36.536476,.52862138,.44194689,1.0243332,-.14043948,.79598117,.087912619,112.83667,.35403427,13
