b_bh,u90_bh,d90_bh,u68_bh,d68_bh,Fstat_bh,b_gscpi,u90_gscpi,d90_gscpi,u68_gscpi,d68_gscpi,Fstat_gscpi,b_gscpi_d,u90_gscpi_d,d90_gscpi_d,u68_gscpi_d,d68_gscpi_d,Fstat_gscpi_d,b_imf,u90_imf,d90_imf,u68_imf,d68_imf,Fstat_imf,Months
.18374395,.29115343,.076334484,.24903847,.11844944,208.57607,-.0711274,.94048011,-1.0827349,.54383159,-.68608636,2.3702252,-.0047693532,1.0712188,-1.0807575,.6493268,-.65886551,1.941662,.29345563,.4294171,.15749414,.37610698,.21080427,176.05788,0
.31817791,.46097416,.17538166,.40498415,.23137167,208.57607,.10918961,1.4128779,-1.1944988,.90170532,-.68332613,2.8724775,.11204933,1.5000796,-1.2759811,.95583677,-.73173815,2.408735,.64513874,.8593567,.43092075,.77536243,.51491505,176.47733,1
.41429433,.59270889,.23587976,.52275306,.30583563,208.57607,.02139294,1.6866506,-1.6438648,1.0337076,-.99092174,2.8643687,-.070140012,1.737306,-1.877586,1.0286113,-1.1688913,2.4016237,.87355399,1.1281543,.61895365,1.0283263,.71878177,176.56989,2
.59978849,.80281514,.39676186,.72320896,.47636804,208.57607,1.2964497,3.2907987,-.6978994,2.5088198,.084079385,2.7706096,1.3450838,3.5036914,-.81352365,2.6573071,.032860443,2.3126047,1.1355864,1.4373479,.83382487,1.319028,.95214474,176.01064,3
.70876539,.93492699,.48260379,.84624964,.57128114,208.57607,2.6329598,5.4696174,-.20369767,4.3573718,.908548,2.8529406,2.7298028,5.8681583,-.40855265,4.6376176,.82198799,2.3891795,1.3828185,1.7208376,1.0447994,1.5883013,1.1773357,176.13213,4
.88067955,1.1364573,.62490171,1.0361676,.72519147,208.57607,4.0864849,8.0882587,.08471109,6.5191741,1.6537957,2.8150141,4.2718825,8.7937403,-.24997494,7.0207324,1.523033,2.3539963,1.6679955,2.0620947,1.2738962,1.9075695,1.4284215,175.30249,5
.963898,1.2493359,.67846012,1.1374165,.79037952,208.57607,5.5135946,10.71208,.31510961,8.673768,2.3534214,2.8502367,5.8500829,11.83521,-.13504402,9.4884577,2.2117078,2.3879371,1.9819463,2.3988533,1.5650394,2.2353852,1.7285075,175.77216,6
.84677172,1.1485654,.54497802,1.0302329,.66331047,208.57607,5.9648089,11.519591,.41002697,9.3415766,2.5880418,2.9150264,6.2234797,12.517062,-.070102684,10.049365,2.3975937,2.4467936,2.1545334,2.5891619,1.7199048,2.4187453,1.8903214,175.50688,7
.7295987,1.049368,.40982941,.92398733,.53521007,208.57607,7.539115,14.213485,.86474502,11.596482,3.4817472,3.2194798,7.8395905,15.333912,.3452692,12.39541,3.2837722,2.7508142,2.3573756,2.8115885,1.9031626,2.6334927,2.0812583,175.07881,8
.81534463,1.1546259,.47606337,1.0215946,.60909462,208.57607,8.9230347,16.796923,1.0491467,13.709593,4.1364765,3.2222681,9.3984509,18.360636,.43626615,14.846587,3.950314,2.7535515,2.4545028,2.9285829,1.9804227,2.7426975,2.1663084,175.12436,9
.89054936,1.2534683,.52763051,1.1111687,.66992998,208.57607,11.122946,21.228319,1.0175718,17.266029,4.9798613,3.0254591,11.912795,23.676771,.14881714,19.064148,4.7614408,2.5619986,2.6126096,3.1279159,2.0973034,2.9258657,2.2993536,173.72313,10
.77617937,1.167189,.38516971,1.0138751,.5384835,208.57607,12.212852,23.289103,1.1366012,18.946136,5.479569,3.0586944,13.114544,26.031164,.19792286,20.966593,5.2624946,2.5939603,2.8453534,3.3795936,2.3111131,3.1701195,2.5205872,173.13698,11
.61814773,1.0172256,.21906984,.86074829,.3755472,208.57607,12.746674,24.348932,1.1444147,19.799719,5.6936288,3.0905807,13.593594,27.022415,.16477031,21.757011,5.4301748,2.6221292,2.7833581,3.3392971,2.2274189,3.1213148,2.4454012,172.50185,12
.42309704,.83270657,.013487545,.67209977,.17409432,208.57607,13.728395,26.20656,1.2502322,21.313906,6.1428862,3.1531293,14.599316,28.977404,.22122899,23.339794,5.8588376,2.6820958,2.6139517,3.1499138,2.0779898,2.9397645,2.2881389,172.8186,13
