Months,b_full,u90_full,d90_full,Fstat_full,b_pre,u90_pre,d90_pre,Fstat_pre,b_post,u90_post,d90_post,Fstat_post
0,.18374395,.29115343,.076334484,208.57607,.13774583,.26752001,.00797165,132.88454,.11469359,.34257764,-.11319046,74.325226
1,.31817791,.46097416,.17538166,208.57607,.14586595,.31544429,-.0237124,132.88454,.18688193,.50321245,-.12944858,74.325226
2,.41429433,.59270889,.23587976,208.57607,.21311377,.40733653,.018890996,132.88454,.22076941,.61976063,-.17822181,74.325226
3,.59978849,.80281514,.39676186,208.57607,.30478516,.51762259,.091947697,132.88454,.48898715,.93866628,.039308015,74.325226
4,.70876539,.93492699,.48260379,208.57607,.34372243,.58333743,.10410748,132.88454,.57987362,1.0800784,.079668842,74.325226
5,.88067955,1.1364573,.62490171,208.57607,.45737058,.71956021,.19518092,132.88454,.77254343,1.3176877,.22739917,74.325226
6,.963898,1.2493359,.67846012,208.57607,.48294145,.78061998,.18526293,132.88454,1.1666385,1.7789487,.55432838,74.325226
7,.84677172,1.1485654,.54497802,208.57607,.32092887,.64110619,.00075155974,132.88454,1.3837311,2.0307429,.73671937,74.325226
8,.7295987,1.049368,.40982941,208.57607,.21456592,.55257231,-.12344044,132.88454,1.3349295,2.0205207,.64933819,74.325226
9,.81534463,1.1546259,.47606337,208.57607,.28836343,.64374614,-.067019276,132.88454,1.3601551,2.0622029,.65810704,74.325226
10,.89054936,1.2534683,.52763051,208.57607,.38507652,.75345242,.01670065,132.88454,1.4270827,2.1290812,.72508395,74.325226
11,.77617937,1.167189,.38516971,208.57607,.22984681,.62067962,-.16098602,132.88454,1.360353,2.0564094,.66429681,74.325226
12,.61814773,1.0172256,.21906984,208.57607,.099230319,.49623778,-.29777715,132.88454,1.2922846,1.9829322,.60163707,74.325226
13,.42309704,.83270657,.013487545,208.57607,-.292959,.13236564,-.71828365,132.88454,1.4883047,2.2014995,.77511001,74.325226
